date,ts_code,close_p
2013-12-02,000001.SH,2207.371
2013-12-03,000300.SH,2442.784
2013-12-03,000001.SH,2222.67
2013-12-03,399006.SZ,1255.329
2013-12-03,000905.SH,3859.955
2013-12-03,399005.SZ,4976.495
2013-12-03,399001.SZ,8492.523
2013-12-03,399016.SZ,1522.6343
2013-12-04,399016.SZ,1525.5526
2013-12-04,000300.SH,2475.135
2013-12-04,000905.SH,3932.998
2013-12-04,399005.SZ,5046.012
2013-12-04,000001.SH,2251.762
2013-12-04,399006.SZ,1240.287
2013-12-04,399001.SZ,8600.818
2013-12-05,399016.SZ,1497.9581
2013-12-05,399005.SZ,5004.118
2013-12-05,000905.SH,3928.724
2013-12-05,000300.SH,2468.197
2013-12-05,000001.SH,2247.063
2013-12-05,399006.SZ,1202.066
2013-12-05,399001.SZ,8560.79
2013-12-06,399001.SZ,8526.681
2013-12-06,000905.SH,3918.783
2013-12-06,000001.SH,2237.108
2013-12-06,399016.SZ,1492.0984
2013-12-06,000300.SH,2452.287
2013-12-06,399006.SZ,1206.783
2013-12-06,399005.SZ,4994.728
2013-12-09,000001.SH,2238.2
2013-12-09,399006.SZ,1241.715
2013-12-09,399005.SZ,5026.139
2013-12-09,000905.SH,3947.704
2013-12-09,399001.SZ,8519.675
2013-12-09,000300.SH,2450.872
2013-12-09,399016.SZ,1516.6809
2013-12-10,000001.SH,2237.492
2013-12-10,000905.SH,3950.486
2013-12-10,399006.SZ,1231.921
2013-12-10,399001.SZ,8554.172
2013-12-10,399005.SZ,5042.568
2013-12-10,399016.SZ,1513.8423
2013-12-10,000300.SH,2453.322
2013-12-11,399005.SZ,5003.932
2013-12-11,399006.SZ,1244.505
2013-12-11,000001.SH,2204.166
2013-12-11,000300.SH,2412.763
2013-12-11,399001.SZ,8409.798
2013-12-11,000905.SH,3906.78
2013-12-11,399016.SZ,1508.4437
2013-12-12,399001.SZ,8400.646
2013-12-12,399005.SZ,5039.921
2013-12-12,000300.SH,2410.015
2013-12-12,399006.SZ,1279.318
2013-12-12,399016.SZ,1527.1092
2013-12-12,000001.SH,2202.796
2013-12-12,000905.SH,3916.962
2013-12-13,399016.SZ,1531.3971
2013-12-13,000001.SH,2196.075
2013-12-13,000300.SH,2406.639
2013-12-13,399005.SZ,5052.437
2013-12-13,399006.SZ,1278.143
2013-12-13,000905.SH,3925.434
2013-12-13,399001.SZ,8429.817
2013-12-16,399016.SZ,1516.5221
2013-12-16,399006.SZ,1279.958
2013-12-16,399005.SZ,4971.17
2013-12-16,000300.SH,2367.923
2013-12-16,000905.SH,3857.715
2013-12-16,000001.SH,2160.861
2013-12-16,399001.SZ,8272.668
2013-12-17,399016.SZ,1506.7978
2013-12-17,399005.SZ,4949.341
2013-12-17,399006.SZ,1267.673
2013-12-17,399001.SZ,8213.432
2013-12-17,000905.SH,3834.027
2013-12-17,000001.SH,2151.079
2013-12-17,000300.SH,2356.376
2013-12-18,399006.SZ,1256.0
2013-12-18,399016.SZ,1507.359
2013-12-18,399001.SZ,8236.948
2013-12-18,399005.SZ,4959.818
2013-12-18,000905.SH,3834.045
2013-12-18,000300.SH,2357.226
2013-12-18,000001.SH,2148.285
2013-12-19,399006.SZ,1256.084
2013-12-19,399005.SZ,4922.082
2013-12-19,399016.SZ,1502.8925
2013-12-19,000300.SH,2332.41
2013-12-19,000001.SH,2127.792
2013-12-19,000905.SH,3795.023
2013-12-19,399001.SZ,8147.705
2013-12-20,399006.SZ,1253.714
2013-12-20,000001.SH,2084.794
2013-12-20,399005.SZ,4879.132
2013-12-20,000300.SH,2278.136
2013-12-20,399001.SZ,7966.718
2013-12-20,399016.SZ,1488.2446
2013-12-20,000905.SH,3747.002
2013-12-23,399016.SZ,1492.7246
2013-12-23,000905.SH,3742.738
2013-12-23,399005.SZ,4872.979
2013-12-23,399006.SZ,1242.806
2013-12-23,000001.SH,2089.707
2013-12-23,000300.SH,2284.602
2013-12-23,399001.SZ,7989.512
2013-12-24,000001.SH,2092.905
2013-12-24,399001.SZ,8027.43
2013-12-24,399006.SZ,1258.823
2013-12-24,399016.SZ,1517.183
2013-12-24,000905.SH,3768.703
2013-12-24,399005.SZ,4906.8
2013-12-24,000300.SH,2288.248
2013-12-25,000905.SH,3808.453
2013-12-25,399016.SZ,1549.4029
2013-12-25,399006.SZ,1288.341
2013-12-25,399005.SZ,4958.753
2013-12-25,399001.SZ,8096.37
2013-12-25,000300.SH,2305.11
2013-12-25,000001.SH,2106.354
2013-12-26,399016.SZ,1530.8632
2013-12-26,000905.SH,3743.132
2013-12-26,000001.SH,2073.099
2013-12-26,000300.SH,2265.334
2013-12-26,399005.SZ,4866.793
2013-12-26,399001.SZ,7897.325
2013-12-26,399006.SZ,1269.535
2013-12-27,000905.SH,3800.774
2013-12-27,399001.SZ,8048.854
2013-12-27,000001.SH,2101.251
2013-12-27,399006.SZ,1294.302
2013-12-27,399016.SZ,1561.5018
2013-12-27,000300.SH,2303.478
2013-12-27,399005.SZ,4946.525
2013-12-30,399001.SZ,7999.301
2013-12-30,399016.SZ,1574.7979
2013-12-30,399005.SZ,4950.131
2013-12-30,000300.SH,2299.458
2013-12-30,000001.SH,2097.529
2013-12-30,399006.SZ,1307.988
2013-12-30,000905.SH,3813.003
2013-12-31,399006.SZ,1304.444
2013-12-31,000300.SH,2330.026
2013-12-31,399001.SZ,8121.788
2013-12-31,399016.SZ,1572.0654
2013-12-31,399005.SZ,4979.855
2013-12-31,000001.SH,2115.978
2013-12-31,000905.SH,3829.096
2014-01-02,000001.SH,2109.387
2014-01-02,000300.SH,2321.978
2014-01-02,399006.SZ,1333.003
2014-01-02,000905.SH,3847.879
2014-01-02,399005.SZ,5059.369
2014-01-02,399016.SZ,1604.3807
2014-01-02,399001.SZ,8114.388
2014-01-03,399016.SZ,1612.5028
2014-01-03,000905.SH,3816.316
2014-01-03,399006.SZ,1352.84
2014-01-03,000001.SH,2083.136
2014-01-03,399005.SZ,5068.632
2014-01-03,399001.SZ,8028.33
2014-01-03,000300.SH,2290.779
2014-01-06,399006.SZ,1323.328
2014-01-06,000300.SH,2238.637
2014-01-06,399016.SZ,1580.7484
2014-01-06,000001.SH,2045.709
2014-01-06,399005.SZ,4950.747
2014-01-06,000905.SH,3710.898
2014-01-06,399001.SZ,7818.458
2014-01-07,399006.SZ,1352.276
2014-01-07,000300.SH,2238.001
2014-01-07,399005.SZ,4988.5
2014-01-07,399016.SZ,1609.7244
2014-01-07,399001.SZ,7806.312
2014-01-07,000905.SH,3733.662
2014-01-07,000001.SH,2047.317
2014-01-08,000300.SH,2241.911
2014-01-08,399001.SZ,7802.143
2014-01-08,000001.SH,2044.34
2014-01-08,399006.SZ,1405.023
2014-01-08,399016.SZ,1642.195
2014-01-08,399005.SZ,5019.879
2014-01-08,000905.SH,3738.205
2014-01-09,399016.SZ,1617.1227
2014-01-09,399006.SZ,1380.244
2014-01-09,399001.SZ,7746.737
2014-01-09,000001.SH,2027.622
2014-01-09,000300.SH,2222.221
2014-01-09,000905.SH,3696.023
2014-01-09,399005.SZ,4944.613
2014-01-10,399006.SZ,1353.302
2014-01-10,399001.SZ,7648.043
2014-01-10,399005.SZ,4860.31
2014-01-10,000001.SH,2013.298
2014-01-10,399016.SZ,1583.5177
2014-01-10,000300.SH,2204.851
2014-01-10,000905.SH,3628.634
2014-01-13,000001.SH,2009.564
2014-01-13,399006.SZ,1362.788
2014-01-13,399001.SZ,7572.56
2014-01-13,000300.SH,2193.679
2014-01-13,399016.SZ,1584.2473
2014-01-13,399005.SZ,4828.985
2014-01-13,000905.SH,3612.02
2014-01-14,399016.SZ,1625.93
2014-01-14,399001.SZ,7665.771
2014-01-14,000300.SH,2212.846
2014-01-14,399006.SZ,1400.916
2014-01-14,000905.SH,3683.534
2014-01-14,399005.SZ,4901.99
2014-01-14,000001.SH,2026.842
2014-01-15,000001.SH,2023.348
2014-01-15,399016.SZ,1644.378
2014-01-15,399005.SZ,4962.507
2014-01-15,399006.SZ,1415.323
2014-01-15,000300.SH,2208.941
2014-01-15,000905.SH,3708.142
2014-01-15,399001.SZ,7668.802
2014-01-16,399005.SZ,4931.816
2014-01-16,000001.SH,2023.701
2014-01-16,000300.SH,2211.844
2014-01-16,000905.SH,3714.314
2014-01-16,399016.SZ,1628.6741
2014-01-16,399001.SZ,7667.219
2014-01-16,399006.SZ,1395.163
2014-01-17,399005.SZ,4866.125
2014-01-17,399001.SZ,7544.565
2014-01-17,000001.SH,2004.949
2014-01-17,399006.SZ,1395.509
2014-01-17,000300.SH,2178.488
2014-01-17,399016.SZ,1617.7268
2014-01-17,000905.SH,3671.915
2014-01-20,399016.SZ,1597.4999
2014-01-20,000001.SH,1991.253
2014-01-20,000300.SH,2165.993
2014-01-20,399005.SZ,4816.953
2014-01-20,000905.SH,3644.125
2014-01-20,399006.SZ,1372.736
2014-01-20,399001.SZ,7524.328
2014-01-21,399001.SZ,7593.425
2014-01-21,000300.SH,2187.41
2014-01-21,399016.SZ,1623.0697
2014-01-21,000905.SH,3700.108
2014-01-21,399006.SZ,1407.152
2014-01-21,399005.SZ,4873.892
2014-01-21,000001.SH,2008.313
2014-01-22,399006.SZ,1431.741
2014-01-22,000300.SH,2243.796
2014-01-22,000001.SH,2051.749
2014-01-22,399001.SZ,7820.453
2014-01-22,399016.SZ,1653.2635
2014-01-22,399005.SZ,4985.267
2014-01-22,000905.SH,3799.042
2014-01-23,399005.SZ,5020.456
2014-01-23,399006.SZ,1461.525
2014-01-23,399001.SZ,7788.471
2014-01-23,000905.SH,3825.486
2014-01-23,000300.SH,2231.889
2014-01-23,399016.SZ,1680.447
2014-01-23,000001.SH,2042.18
2014-01-24,000300.SH,2245.678
2014-01-24,399001.SZ,7855.143
2014-01-24,000905.SH,3882.668
2014-01-24,399016.SZ,1709.6085
2014-01-24,399005.SZ,5103.421
2014-01-24,399006.SZ,1484.432
2014-01-24,000001.SH,2054.392
2014-01-27,000905.SH,3881.947
2014-01-27,399006.SZ,1477.669
2014-01-27,000300.SH,2215.919
2014-01-27,399016.SZ,1712.11
2014-01-27,399005.SZ,5082.949
2014-01-27,399001.SZ,7752.538
2014-01-27,000001.SH,2033.3
2014-01-28,399005.SZ,5046.239
2014-01-28,000905.SH,3873.81
2014-01-28,399006.SZ,1471.34
2014-01-28,000001.SH,2038.513
2014-01-28,399001.SZ,7740.75
2014-01-28,399016.SZ,1700.5953
2014-01-28,000300.SH,2219.855
2014-01-29,399005.SZ,5086.288
2014-01-29,399001.SZ,7707.593
2014-01-29,000300.SH,2227.781
2014-01-29,000905.SH,3908.45
2014-01-29,399006.SZ,1496.527
2014-01-29,399016.SZ,1733.9405
2014-01-29,000001.SH,2049.914
2014-01-30,399006.SZ,1495.978
2014-01-30,399001.SZ,7572.634
2014-01-30,000905.SH,3885.416
2014-01-30,399016.SZ,1725.7983
2014-01-30,000001.SH,2033.083
2014-01-30,399005.SZ,5030.201
2014-01-30,000300.SH,2202.45
2014-02-07,399006.SZ,1532.687
2014-02-07,399016.SZ,1764.7246
2014-02-07,000001.SH,2044.497
2014-02-07,000905.SH,3957.671
2014-02-07,000300.SH,2212.483
2014-02-07,399001.SZ,7616.569
2014-02-07,399005.SZ,5111.619
2014-02-10,399006.SZ,1553.415
2014-02-10,399001.SZ,7812.163
2014-02-10,399016.SZ,1808.8131
2014-02-10,000300.SH,2267.534
2014-02-10,000905.SH,4074.63
2014-02-10,399005.SZ,5292.074
2014-02-10,000001.SH,2086.067
2014-02-11,000001.SH,2103.671
2014-02-11,399006.SZ,1527.151
2014-02-11,000300.SH,2285.562
2014-02-11,399001.SZ,7838.123
2014-02-11,399005.SZ,5268.298
2014-02-11,000905.SH,4080.378
2014-02-11,399016.SZ,1799.7861
2014-02-12,000300.SH,2291.246
2014-02-12,399001.SZ,7902.081
2014-02-12,000905.SH,4125.412
2014-02-12,399016.SZ,1819.4698
2014-02-12,399005.SZ,5327.761
2014-02-12,000001.SH,2109.955
2014-02-12,399006.SZ,1539.966
2014-02-13,399005.SZ,5254.308
2014-02-13,000300.SH,2279.554
2014-02-13,399006.SZ,1485.131
2014-02-13,399001.SZ,7857.111
2014-02-13,000905.SH,4064.423
2014-02-13,399016.SZ,1768.1026
2014-02-13,000001.SH,2098.401
2014-02-14,399016.SZ,1808.2307
2014-02-14,000905.SH,4134.16
2014-02-14,000300.SH,2295.575
2014-02-14,399005.SZ,5330.344
2014-02-14,399001.SZ,7883.753
2014-02-14,000001.SH,2115.848
2014-02-14,399006.SZ,1515.784
2014-02-17,000905.SH,4212.745
2014-02-17,399005.SZ,5412.611
2014-02-17,399006.SZ,1558.616
2014-02-17,000300.SH,2311.647
2014-02-17,000001.SH,2135.415
2014-02-17,399001.SZ,7943.962
2014-02-17,399016.SZ,1851.4061
2014-02-18,399005.SZ,5386.633
2014-02-18,399006.SZ,1545.341
2014-02-18,399016.SZ,1845.8394
2014-02-18,000001.SH,2119.066
2014-02-18,000300.SH,2282.442
2014-02-18,399001.SZ,7832.472
2014-02-18,000905.SH,4207.699
2014-02-19,399001.SZ,7953.943
2014-02-19,399005.SZ,5413.601
2014-02-19,399016.SZ,1838.9522
2014-02-19,399006.SZ,1544.402
2014-02-19,000001.SH,2142.554
2014-02-19,000905.SH,4207.994
2014-02-19,000300.SH,2308.656
2014-02-20,399001.SZ,7842.12
2014-02-20,000905.SH,4149.071
2014-02-20,399006.SZ,1515.164
2014-02-20,399005.SZ,5300.111
2014-02-20,399016.SZ,1800.9625
2014-02-20,000300.SH,2287.436
2014-02-20,000001.SH,2138.782
2014-02-21,399016.SZ,1804.385
2014-02-21,399001.SZ,7750.556
2014-02-21,000001.SH,2113.693
2014-02-21,000300.SH,2264.294
2014-02-21,000905.SH,4121.917
2014-02-21,399005.SZ,5280.108
2014-02-21,399006.SZ,1519.665
2014-02-24,000001.SH,2076.686
2014-02-24,000300.SH,2214.509
2014-02-24,399006.SZ,1540.026
2014-02-24,399005.SZ,5265.81
2014-02-24,399016.SZ,1820.7105
2014-02-24,399001.SZ,7542.533
2014-02-24,000905.SH,4105.792
2014-02-25,399001.SZ,7303.945
2014-02-25,399016.SZ,1732.2997
2014-02-25,399006.SZ,1472.691
2014-02-25,000001.SH,2034.219
2014-02-25,399005.SZ,5046.866
2014-02-25,000300.SH,2157.909
2014-02-25,000905.SH,3961.439
2014-02-26,399005.SZ,5059.19
2014-02-26,399001.SZ,7319.614
2014-02-26,000905.SH,3987.48
2014-02-26,000001.SH,2041.254
2014-02-26,399006.SZ,1465.985
2014-02-26,399016.SZ,1734.0489
